order_id,order_date,customer_email,product_sku,quantity,unit_price,total_amount,payment_method,store_id
US229127,02/15/2025,alex.johnson3505@gmail.com,GADGET-46,3,231.28,693.84,google_pay,STORE_118
US232280,02/15/2025,maria.johnson4603@outlook.com,GADGET-05,3,66.66,159.98,google_pay,STORE_110
US234694,02/15/2025,alex.johnson3748@email.com,GADGET-48,1,132.63,132.63,google_pay,STORE_119
US239175,02/15/2025,maria.johnson4577@gmail.com,GADGET-40,2,89.78,179.56,google_pay,STORE_115
US234748,02/15/2025,jane.johnson2821@email.com,GADGET-68,5,61.61,261.84,bank_transfer,STORE_115
US240080,02/15/2025,jane.jones8605@email.com,GADGET-57,2,24.34,48.68,bank_transfer,STORE_102
US229661,02/15/2025,jane.johnson888@gmail.com,GADGET-50,5,243.01,1215.05,paypal,STORE_113
US229748,02/15/2025,alex.johnson605@outlook.com,GADGET-73,4,231.04,924.16,google_pay,STORE_110
US230704,02/15/2025,chris.brown6645@email.com,GADGET-32,2,121.1,242.2,google_pay,STORE_105
US237861,02/15/2025,chris.miller4101@yahoo.com,GADGET-65,4,80.41,321.64,google_pay,STORE_101
US234337,02/15/2025,maria.brown9859@gmail.com,GADGET-18,3,140.32,315.72,paypal,STORE_109
US235970,02/15/2025,david.williams8124@email.com,GADGET-70,2,115.15,230.3,bank_transfer,STORE_107
US234287,02/15/2025,john.smith8888@email.com,GADGET-03,2,241.76,362.64,paypal,STORE_101
US234900,02/15/2025,chris.jones9016@gmail.com,GADGET-03,1,170.34,170.34,paypal,STORE_114
US240059,02/15/2025,alex.smith5621@email.com,GADGET-55,4,48.84,195.36,paypal,STORE_103
US233773,02/15/2025,sam.brown9587@yahoo.com,GADGET-21,3,87.6,262.8,bank_transfer,STORE_117
US228590,02/15/2025,jane.smith5514@outlook.com,GADGET-10,2,35.21,52.81,apple_pay,STORE_115
US237406,02/15/2025,maria.smith7132@email.com,GADGET-15,5,111.03,555.15,paypal,STORE_114
US237441,02/15/2025,jane.williams8857@outlook.com,GADGET-59,5,250.27,1001.08,bank_transfer,STORE_113
US230853,02/15/2025,jane.brown3989@email.com,GADGET-47,1,100.32,100.32,google_pay,STORE_109
US234122,02/15/2025,chris.williams171@email.com,GADGET-77,4,248.02,992.08,paypal,STORE_119
US233232,02/15/2025,maria.johnson6886@email.com,GADGET-51,4,101.26,405.04,credit_card,STORE_105
US242156,02/15/2025,alex.johnson4517@outlook.com,GADGET-65,4,203.1,649.92,apple_pay,STORE_103
US239351,02/15/2025,sam.smith9336@outlook.com,GADGET-03,2,75.86,121.38,paypal,STORE_105
US236349,02/15/2025,alex.miller5652@email.com,GADGET-07,2,27.45,54.9,credit_card,STORE_107
US233229,02/15/2025,david.johnson2541@yahoo.com,GADGET-78,1,83.82,83.82,apple_pay,STORE_120
US235288,02/15/2025,sam.miller9673@gmail.com,GADGET-40,5,174.09,870.45,google_pay,STORE_108
US235678,02/15/2025,alex.brown182@outlook.com,GADGET-29,1,291.02,291.02,google_pay,STORE_107
US236944,02/15/2025,lisa.miller3130@email.com,GADGET-77,3,213.75,480.94,credit_card,STORE_103
US237770,02/15/2025,maria.jones9261@email.com,GADGET-73,4,270.48,865.54,credit_card,STORE_115
US238159,02/15/2025,chris.brown897@yahoo.com,GADGET-70,4,213.6,854.4,bank_transfer,STORE_107
US240036,02/15/2025,jane.jones1931@gmail.com,GADGET-23,3,207.63,622.89,credit_card,STORE_118
US231199,02/15/2025,sam.jones5869@yahoo.com,GADGET-29,3,70.25,189.68,google_pay,STORE_120
US235143,02/15/2025,maria.williams9818@gmail.com,GADGET-34,2,119.86,239.72,paypal,STORE_101
US229263,02/15/2025,john.brown7638@email.com,GADGET-68,3,155.74,350.42,paypal,STORE_107
US242191,02/15/2025,john.smith6546@yahoo.com,GADGET-24,4,115.43,346.29,apple_pay,STORE_108
US242082,02/15/2025,sam.jones8091@yahoo.com,GADGET-47,2,57.57,115.14,apple_pay,STORE_103
US241289,02/15/2025,jane.miller8361@outlook.com,GADGET-70,2,214.53,429.06,google_pay,STORE_112
US230291,02/15/2025,maria.jones1946@yahoo.com,GADGET-52,5,123.6,463.5,paypal,STORE_105
US233612,02/15/2025,maria.brown5455@yahoo.com,GADGET-32,1,162.81,162.81,google_pay,STORE_114
US235241,02/15/2025,lisa.smith274@gmail.com,GADGET-50,5,30.63,153.15,google_pay,STORE_111
US232035,02/15/2025,chris.jones7199@gmail.com,GADGET-01,2,258.39,516.78,paypal,STORE_114
US228093,02/15/2025,sam.williams4864@yahoo.com,GADGET-26,5,216.76,1083.8,google_pay,STORE_104
US233583,02/15/2025,maria.johnson2568@email.com,GADGET-60,2,109.19,218.38,google_pay,STORE_119
US233411,02/15/2025,jane.williams6969@email.com,GADGET-68,5,98.08,441.36,bank_transfer,STORE_118
US241922,02/15/2025,lisa.williams4203@outlook.com,GADGET-32,5,95.42,405.54,credit_card,STORE_101
US231967,02/15/2025,jane.williams5556@outlook.com,GADGET-28,1,297.17,267.45,google_pay,STORE_114
US237915,02/15/2025,jane.smith3336@email.com,GADGET-24,4,190.96,763.84,google_pay,STORE_105
US230968,02/15/2025,john.miller6970@outlook.com,GADGET-69,1,56.36,56.36,google_pay,STORE_117
US232893,02/15/2025,maria.brown954@email.com,GADGET-79,5,125.5,533.38,apple_pay,STORE_112
US229393,02/15/2025,david.brown4288@gmail.com,GADGET-79,5,69.25,346.25,bank_transfer,STORE_113
US231622,02/15/2025,david.brown8362@outlook.com,GADGET-19,5,296.69,1483.45,credit_card,STORE_107
US228876,02/15/2025,sam.johnson9545@yahoo.com,GADGET-09,2,256.22,512.44,bank_transfer,STORE_112
US236177,02/15/2025,john.williams6394@outlook.com,GADGET-55,1,147.21,147.21,paypal,STORE_109
US236919,02/15/2025,jane.smith4870@outlook.com,GADGET-77,1,108.45,108.45,paypal,STORE_110
US232215,02/15/2025,jane.jones9233@gmail.com,GADGET-42,3,173.93,443.52,apple_pay,STORE_110
US230513,02/15/2025,lisa.smith2097@yahoo.com,GADGET-38,5,222.71,1113.55,bank_transfer,STORE_111
US236971,02/15/2025,lisa.williams4166@email.com,GADGET-61,5,111.42,557.1,apple_pay,STORE_112
