order_id,order_date,email,product_sku,quantity,unit_price,total_amount,payment_method,store_id,promo_code,discount_pct,loyalty_points
US1086655,04/16/2025,sam.brown7844@yahoo.com,GADGET-34,5,215.23,968.53,paypal,STORE_112,SAVE10,10.0,100.0
US1091351,04/16/2025,maria.smith149@yahoo.com,GADGET-40,3,29.68,66.78,bank_transfer,STORE_104,VIP25,25.0,250.0
US1084990,04/16/2025,jane.johnson9363@outlook.com,GADGET-62,5,72.91,364.55,apple_pay,STORE_117,,,
US1091518,04/16/2025,sam.jones1335@yahoo.com,GADGET-20,1,158.27,158.27,google_pay,STORE_101,,,
US1094776,04/16/2025,lisa.brown9012@yahoo.com,GADGET-35,3,166.72,500.16,google_pay,STORE_105,,,
US1085652,04/16/2025,sam.jones2185@gmail.com,GADGET-45,4,277.09,831.27,paypal,STORE_110,VIP25,25.0,250.0
US1095635,04/16/2025,john.smith2254@yahoo.com,GADGET-78,1,195.17,146.38,paypal,STORE_107,VIP25,25.0,250.0
US1088693,04/16/2025,lisa.jones9474@email.com,GADGET-71,4,259.25,1037.0,credit_card,STORE_109,,,
US1085952,04/16/2025,chris.brown6987@yahoo.com,GADGET-26,4,107.04,321.12,google_pay,STORE_111,VIP25,25.0,250.0
US1095058,04/16/2025,maria.jones2958@gmail.com,GADGET-21,3,137.82,351.44,bank_transfer,STORE_114,WELCOME15,15.0,150.0
US1090074,04/16/2025,maria.miller1630@gmail.com,GADGET-58,1,267.48,267.48,google_pay,STORE_120,,,
US1084543,04/16/2025,jane.smith537@yahoo.com,GADGET-64,5,193.94,969.7,paypal,STORE_112,,,
US1084503,04/16/2025,alex.jones11@email.com,GADGET-75,5,22.29,94.73,paypal,STORE_108,WELCOME15,15.0,150.0
US1095737,04/16/2025,david.brown4635@gmail.com,GADGET-57,1,250.03,250.03,bank_transfer,STORE_111,,,
US1091874,04/16/2025,sam.williams1678@yahoo.com,GADGET-05,3,110.97,332.91,google_pay,STORE_111,,,
US1095287,04/16/2025,jane.johnson6621@outlook.com,GADGET-25,5,249.43,1247.15,apple_pay,STORE_102,,,
US1089578,04/16/2025,alex.williams5447@yahoo.com,GADGET-01,1,193.48,154.78,google_pay,STORE_119,SAVE20,20.0,200.0
US1084127,04/16/2025,alex.smith2346@yahoo.com,GADGET-40,1,276.83,276.83,apple_pay,STORE_120,,,
US1093675,04/16/2025,maria.miller4486@outlook.com,GADGET-26,2,240.49,360.74,bank_transfer,STORE_117,VIP25,25.0,250.0
US1083721,04/16/2025,david.smith1294@email.com,GADGET-19,4,93.24,279.72,bank_transfer,STORE_111,VIP25,25.0,250.0
US1085194,04/16/2025,sam.smith3881@gmail.com,GADGET-70,4,26.51,90.13,bank_transfer,STORE_116,WELCOME15,15.0,150.0
US1088057,04/16/2025,lisa.miller4286@gmail.com,GADGET-24,4,198.03,792.12,paypal,STORE_118,,,
US1087566,04/16/2025,lisa.williams1066@yahoo.com,GADGET-22,2,35.05,70.1,bank_transfer,STORE_118,,,
US1094448,04/16/2025,maria.smith778@email.com,GADGET-65,5,256.17,1280.85,bank_transfer,STORE_108,,,
US1093632,04/16/2025,jane.johnson8468@yahoo.com,GADGET-66,3,159.3,477.9,bank_transfer,STORE_108,,,
US1086326,04/16/2025,jane.brown2296@yahoo.com,GADGET-61,3,174.4,444.72,google_pay,STORE_104,WELCOME15,15.0,150.0
US1093456,04/16/2025,jane.johnson8229@outlook.com,GADGET-34,2,91.91,183.82,bank_transfer,STORE_119,,,
US1094897,04/16/2025,jane.williams3166@outlook.com,GADGET-30,2,285.64,514.15,paypal,STORE_112,SAVE10,10.0,100.0
US1093989,04/16/2025,john.williams6728@email.com,GADGET-40,2,172.91,276.66,bank_transfer,STORE_117,SAVE20,20.0,200.0
US1092897,04/16/2025,david.brown4893@gmail.com,GADGET-11,5,173.91,739.12,bank_transfer,STORE_104,WELCOME15,15.0,150.0
US1083114,04/16/2025,david.brown6841@email.com,GADGET-41,2,151.43,302.86,credit_card,STORE_105,,,
US1093101,04/16/2025,jane.williams9000@outlook.com,GADGET-09,3,188.62,452.69,apple_pay,STORE_109,SAVE20,20.0,200.0
US1086645,04/16/2025,lisa.smith8271@yahoo.com,GADGET-30,4,41.28,165.12,google_pay,STORE_115,,,
US1094078,04/16/2025,sam.johnson9976@yahoo.com,GADGET-76,3,64.72,174.74,credit_card,STORE_105,SAVE10,10.0,100.0
