order_id|order_date|customer_email|product_code|quantity|unit_price|total_amount|payment_method|country_code|vat_rate|vat_amount
EU501093|10-03-2025|anna.rossi3883@example.it|WID155|3|€29,95|€107,81|paypal|FR|20%|€17,97
EU503166|10-03-2025|marie.garcia6388@example.it|WID176|1|€8,77|€10,69|carte_bancaire|IT|22%|€1,93
EU507121|10-03-2025|carlos.schmidt4942@example.it|WID196|3|€11,00|€39,92|carte_bancaire|NL|21%|€6,93
EU500514|10-03-2025|pierre.rossi5319@example.fr|WID158|2|€15,19|€36,16|credit_card|DE|19%|€5,77
EU506569|10-03-2025|hans.garcia5434@example.nl|WID127|2|€77,44|€185,85|carte_bancaire|FR|20%|€30,98
EU503610|10-03-2025|marie.dupont1296@example.de|WID179|1|€167,89|€203,14|bank_transfer|NL|21%|€35,26
EU506671|10-03-2025|marie.garcia7399@example.de|WID188|5|€24,51|€148,28|bank_transfer|ES|21%|€25,73
EU505891|10-03-2025|anna.schmidt3108@example.de|WID151|3|€202,01|€721,17|credit_card|DE|19%|€115,15
EU504111|10-03-2025|sofia.de_vries292@example.it|WID187|3|€269,96|€971,86|bank_transfer|FR|20%|€161,98
EU506628|10-03-2025|hans.dupont4250@example.it|WID163|4|€176,36|€860,62|bank_transfer|IT|22%|€155,19
EU502145|10-03-2025|lucia.de_vries928@example.de|WID163|3|€157,33|€571,12|bank_transfer|ES|21%|€99,12
EU502720|10-03-2025|anna.schmidt1538@example.es|WID154|2|€207,25|€493,25|paypal|DE|19%|€78,75
EU504948|10-03-2025|anna.de_vries1507@example.es|WID120|3|€190,22|€690,48|credit_card|ES|21%|€119,84
EU505436|10-03-2025|carlos.schmidt7593@example.de|WID195|1|€201,09|€239,30|carte_bancaire|DE|19%|€38,21
EU506071|10-03-2025|lucia.rossi1652@example.de|WID128|3|€291,31|€1057,46|credit_card|NL|21%|€183,53
EU505855|10-03-2025|lucia.dupont6162@example.it|WID156|4|€94,97|€459,66|carte_bancaire|ES|21%|€79,78
EU500748|10-03-2025|carlos.dupont8601@example.de|WID175|1|€181,60|€219,74|carte_bancaire|ES|21%|€38,14
EU506861|10-03-2025|anna.dupont3421@example.fr|WID186|3|€106,68|€390,44|bank_transfer|IT|22%|€70,41
EU502196|10-03-2025|pierre.rossi5202@example.fr|WID102|2|€165,42|€397,00|credit_card|FR|20%|€66,17
EU503556|10-03-2025|jan.schmidt6218@example.es|WID147|1|€109,84|€130,71|bank_transfer|DE|19%|€20,87
EU501554|10-03-2025|hans.dupont7965@example.es|WID131|1|€100,36|€119,43|bank_transfer|DE|19%|€19,07
EU506456|10-03-2025|marie.garcia3572@example.es|WID112|3|€231,23|€846,30|bank_transfer|IT|22%|€152,61
EU507394|10-03-2025|anna.garcia4381@example.nl|WID110|1|€191,86|€230,23|bank_transfer|FR|20%|€38,37
EU503612|10-03-2025|sofia.de_vries550@example.de|WID190|5|€80,36|€486,17|bank_transfer|NL|21%|€84,38
EU502044|10-03-2025|lucia.de_vries9578@example.es|WID191|2|€85,60|€207,14|carte_bancaire|ES|21%|€35,95
EU507535|10-03-2025|marie.garcia5848@example.fr|WID164|5|€131,92|€791,52|bank_transfer|FR|20%|€131,92
EU500627|10-03-2025|hans.de_vries3276@example.it|WID167|2|€121,38|€288,87|credit_card|DE|19%|€46,12
