order_number	created_at	customer_info	line_items	payment_details	device_type
C274446	2025-01-26T19:40:14Z	"{""email"":""tanaka5112@example.kr"",""country"":""KR"",""phone"":""+82-10-2209-7684""}"	"[{""sku"":""WIDGET-203"",""qty"":5,""price"":169753}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":848765,""status"":""settled""}"	tablet
C273369	2025-01-26T07:00:22Z	"{""email"":""yamada6494@example.kr"",""country"":""KR"",""phone"":""+82-10-9804-7354""}"	"[{""sku"":""WIDGET-113"",""qty"":3,""price"":175307}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":525921,""status"":""completed""}"	tablet
C270528	2025-01-26T04:15:17Z	"{""email"":""lee4568@example.kr"",""country"":""KR"",""phone"":""+82-10-1207-7310""}"	"[{""sku"":""WIDGET-228"",""qty"":4,""price"":150917}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":603668,""status"":""settled""}"	tablet
C271668	2025-01-26T19:30:05Z	"{""email"":""suzuki5026@example.jp"",""country"":""JP"",""phone"":""+81-90-3938-7066""}"	"[{""sku"":""WIDGET-165"",""qty"":2,""price"":19166}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":38332,""status"":""settled""}"	mobile
C264657	2025-01-26T15:05:33Z	"{""email"":""yamada3990@example.kr"",""country"":""KR"",""phone"":""+82-10-2499-9972""}"	"[{""sku"":""WIDGET-180"",""qty"":1,""price"":227814}]"	"{""method"":""bank_transfer"",""currency"":""KRW"",""amount"":227814,""status"":""settled""}"	tablet
C267009	2025-01-26T05:15:15Z	"{""email"":""kim4430@example.kr"",""country"":""KR"",""phone"":""+82-10-8500-2870""}"	"[{""sku"":""WIDGET-190"",""qty"":1,""price"":78265}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":78265,""status"":""settled""}"	mobile
C268745	2025-01-26T14:20:54Z	"{""email"":""lee634@example.kr"",""country"":""KR"",""phone"":""+82-10-6036-8904""}"	"[{""sku"":""WIDGET-227"",""qty"":5,""price"":166917}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":834585,""status"":""settled""}"	tablet
C269456	2025-01-26T04:20:58Z	"{""email"":""lee8313@example.jp"",""country"":""JP"",""phone"":""+81-90-7493-6495""}"	"[{""sku"":""WIDGET-184"",""qty"":2,""price"":10668}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":21336,""status"":""completed""}"	tablet
C268258	2025-01-26T11:20:08Z	"{""email"":""tanaka1611@example.kr"",""country"":""KR"",""phone"":""+82-10-4990-6293""}"	"[{""sku"":""WIDGET-179"",""qty"":4,""price"":56180}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":224720,""status"":""completed""}"	tablet
C274050	2025-01-26T22:05:10Z	"{""email"":""lee3973@example.kr"",""country"":""KR"",""phone"":""+82-10-7492-7564""}"	"[{""sku"":""WIDGET-101"",""qty"":5,""price"":70251}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":351255,""status"":""completed""}"	mobile
C270170	2025-01-26T15:00:41Z	"{""email"":""lee6759@example.kr"",""country"":""KR"",""phone"":""+82-10-4363-5576""}"	"[{""sku"":""WIDGET-312"",""qty"":2,""price"":189874}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":379748,""status"":""completed""}"	mobile
C271597	2025-01-26T20:20:11Z	"{""email"":""suzuki4066@example.jp"",""country"":""JP"",""phone"":""+81-90-6220-2190""}"	"[{""sku"":""WIDGET-253"",""qty"":5,""price"":25294}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":126470,""status"":""settled""}"	desktop
C268572	2025-01-26T11:55:11Z	"{""email"":""suzuki9618@example.jp"",""country"":""JP"",""phone"":""+81-90-7982-1317""}"	"[{""sku"":""WIDGET-255"",""qty"":5,""price"":20874}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":104370,""status"":""settled""}"	desktop
C273222	2025-01-26T15:40:27Z	"{""email"":""kim5911@example.jp"",""country"":""JP"",""phone"":""+81-90-3933-3608""}"	"[{""sku"":""WIDGET-226"",""qty"":2,""price"":8347}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":16694,""status"":""completed""}"	mobile
C271008	2025-01-26T23:05:30Z	"{""email"":""suzuki2808@example.jp"",""country"":""JP"",""phone"":""+81-90-1631-1771""}"	"[{""sku"":""WIDGET-393"",""qty"":5,""price"":20966}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":104830,""status"":""completed""}"	tablet
C270719	2025-01-26T01:25:40Z	"{""email"":""tanaka1920@example.jp"",""country"":""JP"",""phone"":""+81-90-3059-5317""}"	"[{""sku"":""WIDGET-260"",""qty"":1,""price"":16566}]"	"{""method"":""mobile_wallet"",""currency"":""JPY"",""amount"":16566,""status"":""pending""}"	mobile
C268516	2025-01-26T05:10:37Z	"{""email"":""yamada5004@example.kr"",""country"":""KR"",""phone"":""+82-10-8333-7733""}"	"[{""sku"":""WIDGET-223"",""qty"":2,""price"":100317}]"	"{""method"":""mobile_wallet"",""currency"":""KRW"",""amount"":200634,""status"":""settled""}"	desktop
C271004	2025-01-26T02:10:40Z	"{""email"":""yamada3044@example.kr"",""country"":""KR"",""phone"":""+82-10-3647-3914""}"	"[{""sku"":""WIDGET-245"",""qty"":3,""price"":227293}]"	"{""method"":""credit_card"",""currency"":""KRW"",""amount"":681879,""status"":""pending""}"	tablet
C272225	2025-01-26T22:15:10Z	"{""email"":""lee1298@example.jp"",""country"":""JP"",""phone"":""+81-90-2824-8793""}"	"[{""sku"":""WIDGET-279"",""qty"":3,""price"":23576}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":70728,""status"":""settled""}"	mobile
C265317	2025-01-26T06:25:15Z	"{""email"":""tanaka673@example.jp"",""country"":""JP"",""phone"":""+81-90-8297-8763""}"	"[{""sku"":""WIDGET-264"",""qty"":3,""price"":21726}]"	"{""method"":""bank_transfer"",""currency"":""JPY"",""amount"":65178,""status"":""settled""}"	desktop
C264166	2025-01-26T21:10:17Z	"{""email"":""lee6526@example.jp"",""country"":""JP"",""phone"":""+81-90-6248-2482""}"	"[{""sku"":""WIDGET-283"",""qty"":1,""price"":23037}]"	"{""method"":""credit_card"",""currency"":""JPY"",""amount"":23037,""status"":""completed""}"	tablet
